model,class,auc_mean,auc_std,ap_mean,ap_std,n_mean,pos_rate_mean,seeds
Proteomic Ratios,MCI,0.6457371254814435,0.017034949743171386,0.43478287209860317,0.027423543923010208,282.2,0.2785702270209559,5
Proteomic Ratios,NCI,0.7469350365668186,0.032132154658703886,0.7397889176905011,0.038922600565379606,282.2,0.5279472495667585,5
Proteomic Ratios,AD,0.8406970315174874,0.018925153513640585,0.5886951784359596,0.024540974085937285,282.2,0.17647902009146374,5
Proteomic Ratios,AD+,0.8135703626349043,0.0855746482286167,0.44294103456082656,0.20682900399504883,282.2,0.01700350332082181,5
Demographics Only Baseline,MCI,0.5507929619532501,0.007046901887215038,0.3348876272725632,0.014366792447382619,282.2,0.2785702270209559,5
Demographics Only Baseline,NCI,0.6447242653802597,0.02724227843498869,0.6555424427120997,0.03236065548743976,282.2,0.5279472495667585,5
Demographics Only Baseline,AD,0.6137458821218694,0.04100187028459255,0.2592415190244446,0.044839150936955084,282.2,0.17647902009146374,5
Demographics Only Baseline,AD+,0.6217740940263757,0.0758297993840443,0.033191243195817864,0.008924875664424545,282.2,0.01700350332082181,5
Stratified Random Baseline,MCI,0.5194679135334055,0.021242454865889354,0.3067384828750201,0.020608243606323354,282.2,0.2785702270209559,5
Stratified Random Baseline,NCI,0.4890206204499391,0.04312793730020469,0.5309668977370252,0.05101533601524593,282.2,0.5279472495667585,5
Stratified Random Baseline,AD,0.48962479477985477,0.03490534531955893,0.18562960344588791,0.011139879895565117,282.2,0.17647902009146374,5
Stratified Random Baseline,AD+,0.5387180380137998,0.12156208169843016,0.06515100591662978,0.08688734892085766,282.2,0.01700350332082181,5
Raw Proteins + Demographics,MCI,0.5176139349949388,0.026827627858025786,0.3011190425846194,0.025814713375883504,282.2,0.2785702270209559,5
Raw Proteins + Demographics,NCI,0.674854393126365,0.04627404687169506,0.6670490006933962,0.04958220058471372,282.2,0.5279472495667585,5
Raw Proteins + Demographics,AD,0.7161319535951358,0.02010601073043727,0.4101816565131616,0.034783005176287636,282.2,0.17647902009146374,5
Raw Proteins + Demographics,AD+,0.6287839345808093,0.1481381257351447,0.05314491275540369,0.038487825630489504,282.2,0.01700350332082181,5
