Model,Class,Accuracy,Precision,Recall,F1_Score,MCC,AUC,AP
Proteomic Ratios,MCI,0.7094 ± 0.0118,0.4638 ± 0.0399,0.2951 ± 0.0544,0.3590 ± 0.0493,0.1925 ± 0.0471,0.6495 ± 0.0293,0.4180 ± 0.0304
Proteomic Ratios,NCI,0.6667 ± 0.0251,0.6819 ± 0.0320,0.6940 ± 0.0213,0.6875 ± 0.0211,0.3313 ± 0.0510,0.7277 ± 0.0330,0.7268 ± 0.0490
Proteomic Ratios,AD,0.8335 ± 0.0062,0.5556 ± 0.0396,0.3207 ± 0.0488,0.4024 ± 0.0335,0.3324 ± 0.0198,0.7899 ± 0.0152,0.4998 ± 0.0134
Proteomic Ratios,AD+,0.9802 ± 0.0061,0.1333 ± 0.1944,0.0900 ± 0.1114,0.1030 ± 0.1350,0.1027 ± 0.1382,0.7684 ± 0.1267,0.3351 ± 0.1650
Demographics Only Baseline,MCI,0.7200 ± 0.0060,0.2870 ± 0.3943,0.0278 ± 0.0496,0.0442 ± 0.0765,0.0397 ± 0.0487,0.5508 ± 0.0063,0.3349 ± 0.0129
Demographics Only Baseline,NCI,0.5833 ± 0.0364,0.5850 ± 0.0414,0.8012 ± 0.1462,0.6665 ± 0.0302,0.1594 ± 0.0868,0.6447 ± 0.0244,0.6555 ± 0.0289
Demographics Only Baseline,AD,0.8242 ± 0.0030,0.2000 ± 0.4000,0.0041 ± 0.0082,0.0080 ± 0.0160,0.0260 ± 0.0520,0.6137 ± 0.0367,0.2592 ± 0.0401
Demographics Only Baseline,AD+,0.9689 ± 0.0112,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,-0.0133 ± 0.0084,0.6218 ± 0.0678,0.0332 ± 0.0080
Stratified Random Baseline,MCI,0.7221 ± 0.0042,0.2000 ± 0.4000,0.0026 ± 0.0051,0.0051 ± 0.0101,0.0193 ± 0.0385,0.5195 ± 0.0190,0.3067 ± 0.0184
Stratified Random Baseline,NCI,0.5054 ± 0.0258,0.5252 ± 0.0210,0.6634 ± 0.0455,0.5857 ± 0.0254,-0.0081 ± 0.0542,0.4890 ± 0.0386,0.5310 ± 0.0456
Stratified Random Baseline,AD,0.8235 ± 0.0024,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4896 ± 0.0312,0.1856 ± 0.0100
Stratified Random Baseline,AD+,0.9830 ± 0.0013,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.5387 ± 0.1087,0.0652 ± 0.0777
Raw Proteins + Demographics,MCI,0.7066 ± 0.0118,0.1359 ± 0.1700,0.0483 ± 0.0653,0.0707 ± 0.0934,0.0031 ± 0.0552,0.5176 ± 0.0240,0.3011 ± 0.0231
Raw Proteins + Demographics,NCI,0.6361 ± 0.0382,0.6469 ± 0.0427,0.6967 ± 0.0496,0.6689 ± 0.0308,0.2688 ± 0.0780,0.6749 ± 0.0414,0.6670 ± 0.0443
Raw Proteins + Demographics,AD,0.8300 ± 0.0063,0.5832 ± 0.0820,0.1207 ± 0.0386,0.1982 ± 0.0553,0.2067 ± 0.0544,0.7161 ± 0.0180,0.4102 ± 0.0311
Raw Proteins + Demographics,AD+,0.9788 ± 0.0089,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,-0.0039 ± 0.0079,0.6288 ± 0.1325,0.0531 ± 0.0344
